Date,Invalid Link Count
2022-05-15,4708.0
2022-05-28,4733.0
2022-05-29,6011.0
2022-05-29,6031.0
2022-05-29,6043.0
2022-05-29,6043.0
2022-05-29,6043.0
2022-06-19,7340.0
2022-07-07,7374.0
2022-07-19,7392.0
2022-07-24,7373.0
2022-07-24,7382.0
2022-09-04,10488.0
2022-09-13,10486.0
2022-09-18,10459.0
2022-10-30,11169.0
2022-11-13,11170.0
2022-11-13,11170.0
2022-11-18,11172.0
2022-11-18,11172.0
2022-11-19,11172.0
2022-11-25,11172.0
2022-11-25,11172.0
2022-11-25,11172.0
2022-11-25,11181.0
2022-11-25,11181.0
2022-11-27,11179.0
2022-12-02,11188.0
2022-12-03,11188.0
2022-12-03,11188.0
2022-12-03,11197.0
2022-12-17,11188.0
2023-01-08,11188.0
2023-01-08,11203.0
2023-01-15,11204.0
2023-01-15,11204.0
2023-01-15,11204.0
2023-01-22,11204.0
2023-01-22,11203.0
2023-01-22,11203.0
2023-02-12,11356.0
2023-03-05,11301.0
2023-03-12,11715.0
2023-03-12,11715.0
2023-03-12,11715.0
2023-03-26,11715.0
2023-03-26,11715.0
2023-04-10,12030.0
2023-04-14,13281.0
2023-04-14,13281.0
2023-04-15,13256.0
2023-04-16,13346.0
2023-04-21,13346.0
2023-04-22,13346.0
2023-04-23,13371.0
2023-04-23,13371.0
2023-05-14,13371.0
2023-05-14,13371.0
2023-05-17,13371.0
2023-05-17,13371.0
2023-05-17,13371.0
2023-05-17,13371.0
2023-05-28,13371.0
